Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3937 | games   640 | time 2s/300s
  random         : 1.000 win_rate (100W 0L 0D / 100)
  one_step       : 1.000 win_rate (100W 0L 0D / 100)
  minimax_d3     : 0.500 win_rate (50W 50L 0D / 100)
  minimax_d5     : 0.500 win_rate (50W 50L 0D / 100)

---
win_rate:          0.615385
training_seconds:  300.1
total_seconds:     376.2
eval_seconds:      75.2
peak_vram_mb:      95.3
total_games:       222912
num_steps:         3483
num_params:        764872
conv_layers:       3
conv_channels:     64
fc_hidden:         128
entropy_coef:      0.03
