Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4946 | games   640 | time 1s/300s
step 3940 | loss 0.2822 | games 252160 | time 228s/300s
step 3950 | loss 0.2859 | games 252800 | time 228s/300s
step 3960 | loss 0.3070 | games 253440 | time 229s/300s
step 3970 | loss 0.2962 | games 254080 | time 230s/300s
step 3980 | loss 0.2881 | games 254720 | time 230s/300s
step 3990 | loss 0.2654 | games 255360 | time 231s/300s
step 4000 | loss 0.3069 | games 256000 | time 231s/300s
step 4010 | loss 0.2974 | games 256640 | time 232s/300s
step 4020 | loss 0.3232 | games 257280 | time 232s/300s
step 4030 | loss 0.2541 | games 257920 | time 233s/300s
step 4040 | loss 0.2069 | games 258560 | time 233s/300s
step 4050 | loss 0.2162 | games 259200 | time 234s/300s
step 4060 | loss 0.2904 | games 259840 | time 235s/300s
step 4070 | loss 0.2532 | games 260480 | time 235s/300s
step 4080 | loss 0.2610 | games 261120 | time 236s/300s
step 4090 | loss 0.2529 | games 261760 | time 236s/300s
step 4100 | loss 0.2760 | games 262400 | time 237s/300s
step 4110 | loss 0.2560 | games 263040 | time 237s/300s
step 4120 | loss 0.2730 | games 263680 | time 238s/300s
step 4130 | loss 0.2977 | games 264320 | time 238s/300s
step 4140 | loss 0.2871 | games 264960 | time 239s/300s
step 4150 | loss 0.2801 | games 265600 | time 239s/300s
step 4160 | loss 0.2699 | games 266240 | time 240s/300s
step 4170 | loss 0.2629 | games 266880 | time 241s/300s
step 4180 | loss 0.2522 | games 267520 | time 241s/300s
step 4190 | loss 0.2391 | games 268160 | time 242s/300s
step 4200 | loss 0.2452 | games 268800 | time 242s/300s
step 4210 | loss 0.2328 | games 269440 | time 243s/300s
step 4220 | loss 0.2704 | games 270080 | time 244s/300s
step 4230 | loss 0.2449 | games 270720 | time 244s/300s
step 4240 | loss 0.2693 | games 271360 | time 245s/300s
step 4250 | loss 0.2629 | games 272000 | time 245s/300s
step 4260 | loss 0.2370 | games 272640 | time 246s/300s
step 4270 | loss 0.2404 | games 273280 | time 246s/300s
step 4280 | loss 0.2470 | games 273920 | time 247s/300s
step 4290 | loss 0.2890 | games 274560 | time 248s/300s
step 4300 | loss 0.2739 | games 275200 | time 248s/300s
step 4310 | loss 0.2991 | games 275840 | time 249s/300s
step 4320 | loss 0.2793 | games 276480 | time 249s/300s
step 4330 | loss 0.2505 | games 277120 | time 250s/300s
step 4340 | loss 0.2604 | games 277760 | time 250s/300s
step 4350 | loss 0.2708 | games 278400 | time 251s/300s
step 4360 | loss 0.2749 | games 279040 | time 252s/300s
step 4370 | loss 0.3333 | games 279680 | time 252s/300s
step 4380 | loss 0.2953 | games 280320 | time 253s/300s
step 4390 | loss 0.3323 | games 280960 | time 253s/300s
step 4400 | loss 0.2874 | games 281600 | time 254s/300s
step 4410 | loss 0.2268 | games 282240 | time 254s/300s
step 4420 | loss 0.2306 | games 282880 | time 255s/300s
step 4430 | loss 0.2927 | games 283520 | time 255s/300s
step 4440 | loss 0.3195 | games 284160 | time 256s/300s
step 4450 | loss 0.2960 | games 284800 | time 256s/300s
step 4460 | loss 0.2770 | games 285440 | time 257s/300s
step 4470 | loss 0.2648 | games 286080 | time 258s/300s
step 4480 | loss 0.2684 | games 286720 | time 258s/300s
step 4490 | loss 0.2396 | games 287360 | time 259s/300s
step 4500 | loss 0.2612 | games 288000 | time 259s/300s
step 4510 | loss 0.2191 | games 288640 | time 260s/300s
step 4520 | loss 0.2258 | games 289280 | time 260s/300s
step 4530 | loss 0.2649 | games 289920 | time 261s/300s
step 4540 | loss 0.2208 | games 290560 | time 261s/300s
step 4550 | loss 0.2506 | games 291200 | time 262s/300s
step 4560 | loss 0.2816 | games 291840 | time 262s/300s
step 4570 | loss 0.2560 | games 292480 | time 263s/300s
step 4580 | loss 0.3203 | games 293120 | time 264s/300s
step 4590 | loss 0.2578 | games 293760 | time 264s/300s
step 4600 | loss 0.2109 | games 294400 | time 265s/300s
step 4610 | loss 0.2144 | games 295040 | time 265s/300s
step 4620 | loss 0.2358 | games 295680 | time 266s/300s
step 4630 | loss 0.2402 | games 296320 | time 266s/300s
step 4640 | loss 0.2305 | games 296960 | time 267s/300s
step 4650 | loss 0.2362 | games 297600 | time 268s/300s
step 4660 | loss 0.2402 | games 298240 | time 268s/300s
step 4670 | loss 0.2802 | games 298880 | time 269s/300s
step 4680 | loss 0.2690 | games 299520 | time 270s/300s
step 4690 | loss 0.2708 | games 300160 | time 270s/300s
