Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4722 | games   640 | time 1s/300s
step 3550 | loss 0.2031 | games 227200 | time 196s/300s
step 3560 | loss 0.1901 | games 227840 | time 196s/300s
step 3570 | loss 0.2052 | games 228480 | time 197s/300s
step 3580 | loss 0.2400 | games 229120 | time 197s/300s
step 3590 | loss 0.2262 | games 229760 | time 198s/300s
step 3600 | loss 0.2338 | games 230400 | time 199s/300s
step 3610 | loss 0.2149 | games 231040 | time 199s/300s
step 3620 | loss 0.2390 | games 231680 | time 200s/300s
step 3630 | loss 0.2506 | games 232320 | time 200s/300s
step 3640 | loss 0.2503 | games 232960 | time 201s/300s
step 3650 | loss 0.2846 | games 233600 | time 201s/300s
step 3660 | loss 0.3079 | games 234240 | time 202s/300s
step 3670 | loss 0.3237 | games 234880 | time 203s/300s
step 3680 | loss 0.2872 | games 235520 | time 203s/300s
step 3690 | loss 0.2637 | games 236160 | time 204s/300s
step 3700 | loss 0.2414 | games 236800 | time 204s/300s
step 3710 | loss 0.2761 | games 237440 | time 205s/300s
step 3720 | loss 0.2745 | games 238080 | time 206s/300s
step 3730 | loss 0.2747 | games 238720 | time 206s/300s
step 3740 | loss 0.2817 | games 239360 | time 207s/300s
step 3750 | loss 0.2655 | games 240000 | time 207s/300s
step 3760 | loss 0.2381 | games 240640 | time 208s/300s
step 3770 | loss 0.2117 | games 241280 | time 208s/300s
step 3780 | loss 0.2210 | games 241920 | time 209s/300s
step 3790 | loss 0.2574 | games 242560 | time 210s/300s
step 3800 | loss 0.2810 | games 243200 | time 210s/300s
step 3810 | loss 0.2606 | games 243840 | time 211s/300s
step 3820 | loss 0.2341 | games 244480 | time 211s/300s
step 3830 | loss 0.2507 | games 245120 | time 212s/300s
step 3840 | loss 0.2611 | games 245760 | time 212s/300s
step 3850 | loss 0.2373 | games 246400 | time 213s/300s
step 3860 | loss 0.2656 | games 247040 | time 214s/300s
step 3870 | loss 0.2630 | games 247680 | time 214s/300s
step 3880 | loss 0.2283 | games 248320 | time 215s/300s
step 3890 | loss 0.2334 | games 248960 | time 215s/300s
step 3900 | loss 0.2495 | games 249600 | time 216s/300s
step 3910 | loss 0.2285 | games 250240 | time 217s/300s
step 3920 | loss 0.2501 | games 250880 | time 217s/300s
step 3930 | loss 0.2253 | games 251520 | time 218s/300s
step 3940 | loss 0.2113 | games 252160 | time 218s/300s
step 3950 | loss 0.1959 | games 252800 | time 219s/300s
step 3960 | loss 0.2298 | games 253440 | time 219s/300s
step 3970 | loss 0.2435 | games 254080 | time 220s/300s
step 3980 | loss 0.2173 | games 254720 | time 220s/300s
step 3990 | loss 0.1770 | games 255360 | time 221s/300s
step 4000 | loss 0.2159 | games 256000 | time 221s/300s
